symbol,date,kind,value
360ONE,2019-10-31,dividend,2.5
360ONE,2020-01-29,dividend,2.5
360ONE,2020-08-26,dividend,10
360ONE,2021-02-11,dividend,7.5
360ONE,2021-08-10,dividend,8.75
360ONE,2021-11-03,dividend,5
360ONE,2022-06-01,dividend,5
360ONE,2022-08-01,dividend,3.75
360ONE,2022-10-28,dividend,4.25
360ONE,2023-01-30,dividend,4.25
360ONE,2023-03-02,split,2
360ONE,2023-05-12,dividend,4
360ONE,2023-07-28,dividend,4
360ONE,2023-11-10,dividend,4
360ONE,2024-01-29,dividend,4.5
360ONE,2024-05-02,dividend,3.5
360ONE,2024-08-07,dividend,2.5
360ONE,2025-04-29,dividend,6
360ONE,2025-10-27,dividend,6
360ONE,2026-04-27,dividend,6
3MINDIA,2022-11-21,dividend,850
3MINDIA,2023-07-26,dividend,100
3MINDIA,2024-07-05,dividend,685
3MINDIA,2025-07-25,dividend,535
3MINDIA,2026-07-17,dividend,506
ABB,2005-05-11,dividend,1.4
ABB,2006-05-12,dividend,1.6
ABB,2007-05-14,dividend,2
ABB,2007-06-28,split,5
ABB,2008-05-26,dividend,2.2
ABB,2009-05-11,dividend,2.2
ABB,2010-05-03,dividend,2
ABB,2011-05-02,dividend,2
ABB,2012-05-02,dividend,3
ABB,2013-04-30,dividend,3
ABB,2014-04-25,dividend,3
ABB,2015-04-28,dividend,3.7
ABB,2016-04-13,dividend,3.7
ABB,2017-04-28,dividend,4
ABB,2018-04-27,dividend,4.4
ABB,2019-04-26,dividend,4.8
ABB,2020-07-16,dividend,4.8
ABB,2021-04-19,dividend,5
ABB,2022-04-27,dividend,5.2
ABB,2023-04-27,dividend,5.5
ABB,2023-08-25,dividend,5.5
ABB,2024-05-03,dividend,23.8
ABB,2024-08-23,dividend,10.66
ABB,2025-05-02,dividend,33.5
ABB,2025-08-08,dividend,9.77
ABB,2026-04-30,dividend,29.59
ABB,2026-08-07,dividend,90
ABBOTINDIA,2008-03-28,dividend,17.5
ABBOTINDIA,2009-03-09,dividend,14
ABBOTINDIA,2010-03-03,dividend,17
ABBOTINDIA,2011-04-19,dividend,17
ABBOTINDIA,2012-05-04,dividend,17
ABBOTINDIA,2013-04-16,dividend,17
ABBOTINDIA,2014-07-23,dividend,23
ABBOTINDIA,2015-07-22,dividend,31
ABBOTINDIA,2016-07-08,dividend,35
ABBOTINDIA,2017-07-10,dividend,40
ABBOTINDIA,2018-07-10,dividend,55
ABBOTINDIA,2019-08-13,dividend,65
ABBOTINDIA,2020-08-28,dividend,250
ABBOTINDIA,2021-07-19,dividend,275
ABBOTINDIA,2022-08-02,dividend,275
ABBOTINDIA,2023-07-21,dividend,325
ABBOTINDIA,2024-07-19,dividend,410
ABBOTINDIA,2025-07-25,dividend,475
ABBOTINDIA,2026-07-24,dividend,656
ACC,2005-06-29,dividend,7
ACC,2006-03-29,dividend,8
ACC,2007-03-14,dividend,15
ACC,2007-08-02,dividend,10
ACC,2008-04-10,dividend,10
ACC,2008-07-31,dividend,10
ACC,2009-03-24,dividend,10
ACC,2009-07-30,dividend,10
ACC,2010-03-23,dividend,13
ACC,2010-07-28,dividend,10
ACC,2011-03-29,dividend,20.5
ACC,2011-08-03,dividend,11
ACC,2012-03-12,dividend,17
ACC,2012-08-01,dividend,11
ACC,2013-03-21,dividend,19
ACC,2013-07-30,dividend,11
ACC,2014-03-24,dividend,19
ACC,2014-07-28,dividend,15
ACC,2015-03-12,dividend,19
ACC,2015-07-22,dividend,11
ACC,2016-02-22,dividend,6
ACC,2016-08-02,dividend,11
ACC,2017-03-16,dividend,6
ACC,2017-07-25,dividend,11
ACC,2018-05-17,dividend,15
ACC,2019-03-05,dividend,14
ACC,2020-05-19,dividend,14
ACC,2021-03-30,dividend,14
ACC,2022-04-04,dividend,58
ACC,2023-07-07,dividend,9.25
ACC,2024-06-14,dividend,7.5
ACC,2025-06-13,dividend,7.5
ACC,2026-06-12,dividend,7.5
ADANIENT,2005-08-05,dividend,0.1939
ADANIENT,2006-07-24,dividend,0.2181
ADANIENT,2007-03-22,dividend,0.2181
ADANIENT,2008-09-18,dividend,0.2908
ADANIENT,2009-08-20,dividend,0.4847
ADANIENT,2009-12-10,split,2
ADANIENT,2010-08-12,dividend,0.9695
ADANIENT,2011-08-03,dividend,0.9695
ADANIENT,2012-08-02,dividend,0.9695
ADANIENT,2013-07-30,dividend,1.3573
ADANIENT,2014-07-31,dividend,1.3573
ADANIENT,2015-07-31,dividend,1.3573
ADANIENT,2016-03-22,dividend,0.3878
ADANIENT,2017-07-31,dividend,0.3878
ADANIENT,2018-07-27,dividend,0.3878
ADANIENT,2019-07-29,dividend,0.3878
ADANIENT,2020-03-23,dividend,0.9695
ADANIENT,2021-07-01,dividend,0.9695
ADANIENT,2022-07-14,dividend,0.9695
ADANIENT,2023-07-07,dividend,1.1634
ADANIENT,2024-06-14,dividend,1.2603
ADANIENT,2025-06-13,dividend,1.2603
ADANIENT,2026-06-12,dividend,1.3
ADANIPORTS,2008-09-12,dividend,0.3
ADANIPORTS,2009-02-18,dividend,0.4
ADANIPORTS,2009-08-17,dividend,0.2
ADANIPORTS,2010-02-03,dividend,0.5
ADANIPORTS,2010-08-09,dividend,0.3
ADANIPORTS,2010-09-23,split,5
ADANIPORTS,2011-02-14,dividend,0.5
ADANIPORTS,2011-05-05,dividend,0.4
ADANIPORTS,2012-02-13,dividend,0.3
ADANIPORTS,2012-07-30,dividend,0.7
ADANIPORTS,2013-07-30,dividend,1
ADANIPORTS,2014-07-31,dividend,1
ADANIPORTS,2015-05-22,dividend,1.1
ADANIPORTS,2016-03-22,dividend,1.1
ADANIPORTS,2017-07-31,dividend,1.3
ADANIPORTS,2018-07-26,dividend,2
ADANIPORTS,2019-07-26,dividend,0.2
ADANIPORTS,2020-03-16,dividend,3.2
ADANIPORTS,2021-06-24,dividend,5
ADANIPORTS,2022-07-14,dividend,5
ADANIPORTS,2023-07-28,dividend,5
ADANIPORTS,2024-06-14,dividend,6
ADANIPORTS,2025-06-13,dividend,7
ADANIPORTS,2026-06-12,dividend,7.5
ADANIPOWER,2025-09-22,split,5
AIAENG,2006-09-14,dividend,0.5
AIAENG,2007-08-16,dividend,0.7
AIAENG,2008-08-28,dividend,0.8
AIAENG,2008-10-13,split,5
AIAENG,2008-11-26,dividend,0.6
AIAENG,2009-09-10,dividend,1.9
AIAENG,2010-02-18,dividend,0.8
AIAENG,2010-07-29,dividend,1.7
AIAENG,2011-07-28,dividend,3
AIAENG,2012-08-02,dividend,3
AIAENG,2013-08-01,dividend,4
AIAENG,2014-08-27,dividend,6
AIAENG,2015-09-10,dividend,8
AIAENG,2016-03-17,dividend,18
AIAENG,2017-02-20,dividend,4
AIAENG,2017-08-04,dividend,4
AIAENG,2018-04-04,dividend,8
AIAENG,2019-08-02,dividend,9
AIAENG,2020-03-17,dividend,27
AIAENG,2021-08-26,dividend,9
AIAENG,2022-09-02,dividend,9
AIAENG,2023-09-12,dividend,16
AIAENG,2024-08-20,dividend,16
AIAENG,2025-09-04,dividend,16
AIAENG,2026-09-04,dividend,16
AIIL,2025-03-27,dividend,0.2
AIIL,2025-05-16,dividend,0.1
AIIL,2026-01-13,split,5
AJANTPHARM,2006-09-18,dividend,0.1333
AJANTPHARM,2007-09-19,dividend,0.1778
AJANTPHARM,2008-06-27,dividend,0.2222
AJANTPHARM,2009-06-30,dividend,0.2222
AJANTPHARM,2010-06-29,dividend,0.3111
AJANTPHARM,2011-06-23,dividend,0.4444
AJANTPHARM,2012-06-28,dividend,0.6667
AJANTPHARM,2012-08-09,split,2
AJANTPHARM,2013-07-18,dividend,1.1111
AJANTPHARM,2013-09-17,split,1.5
AJANTPHARM,2014-07-24,dividend,2.6667
AJANTPHARM,2015-03-20,split,2.5
