symbol,date,traded_qty,deliv_qty,deliv_pct
360ONE,2024-01-01,175009.0,95648.0,54.65
3MINDIA,2024-01-01,10350.0,1891.0,18.27
ABB,2024-01-01,84544.0,33919.0,40.12
ABBOTINDIA,2024-01-01,24341.0,18280.0,75.1
ABCAPITAL,2024-01-01,4244834.0,2035254.0,47.95
ACC,2024-01-01,531769.0,186694.0,35.11
ADANIENSOL,2024-01-01,676574.0,255946.0,37.83
ADANIENT,2024-01-01,2898619.0,643451.0,22.2
ADANIGREEN,2024-01-01,912757.0,394593.0,43.23
ADANIPORTS,2024-01-01,3989711.0,975722.0,24.46
AIAENG,2024-01-01,20291.0,11610.0,57.22
AJANTPHARM,2024-01-01,166867.0,87411.0,52.38
ALKEM,2024-01-01,101017.0,47179.0,46.7
AMBUJACEM,2024-01-01,4251624.0,1644918.0,38.69
APARINDS,2024-01-01,70761.0,23838.0,33.69
APLAPOLLO,2024-01-01,737306.0,511059.0,69.31
APOLLOHOSP,2024-01-01,127030.0,38414.0,30.24
APOLLOTYRE,2024-01-01,1679801.0,721034.0,42.92
ASHOKLEY,2024-01-01,39354793.0,19509736.0,49.57
ASIANPAINT,2024-01-01,283951.0,141679.0,49.9
ASTRAL,2024-01-01,238462.0,137403.0,57.62
ATGL,2024-01-01,1726490.0,615376.0,35.64
AUBANK,2024-01-01,1258532.0,461354.0,36.66
AUROPHARMA,2024-01-01,985073.0,321363.0,32.62
AWL,2024-01-01,3843900.0,1319984.0,34.34
AXISBANK,2024-01-01,4083732.0,2258877.0,55.31
BAJAJ-AUTO,2024-01-01,253274.0,84938.0,33.54
BAJAJFINSV,2024-01-01,692280.0,403683.0,58.31
BAJAJHLDNG,2024-01-01,17080.0,4896.0,28.67
BAJFINANCE,2024-01-01,331489.0,112857.0,34.05
BALKRISIND,2024-01-01,119304.0,47864.0,40.12
BANKBARODA,2024-01-01,13199707.0,4910740.0,37.2
BANKINDIA,2024-01-01,16485079.0,10119090.0,61.38
BDL,2024-01-01,487179.0,129411.0,26.56
BEL,2024-01-01,18008785.0,10285339.0,57.11
BERGEPAINT,2024-01-01,631961.0,302133.0,47.81
BHARATFORG,2024-01-01,609955.0,191605.0,31.41
BHARTIARTL,2024-01-01,3804406.0,2188481.0,57.52
BHEL,2024-01-01,75665268.0,19653594.0,25.97
BIOCON,2024-01-01,7038993.0,3082588.0,43.79
BLUESTARCO,2024-01-01,108660.0,66641.0,61.33
BOSCHLTD,2024-01-01,19391.0,6204.0,31.99
BPCL,2024-01-01,3503144.0,1418988.0,40.51
BRITANNIA,2024-01-01,130032.0,47714.0,36.69
BSE,2024-01-01,488056.0,215297.0,44.11
CANBK,2024-01-01,4340269.0,1574971.0,36.29
CGPOWER,2024-01-01,552939.0,326539.0,59.06
CHOLAFIN,2024-01-01,726699.0,345446.0,47.54
CIPLA,2024-01-01,343584.0,131258.0,38.2
COALINDIA,2024-01-01,11124690.0,3415755.0,30.7
COCHINSHIP,2024-01-01,1408663.0,469327.0,33.32
COFORGE,2024-01-01,183642.0,90994.0,49.55
COLPAL,2024-01-01,357687.0,174305.0,48.73
CONCOR,2024-01-01,759906.0,306396.0,40.32
COROMANDEL,2024-01-01,181841.0,50930.0,28.01
CRISIL,2024-01-01,18474.0,10708.0,57.96
CUMMINSIND,2024-01-01,231172.0,107317.0,46.42
DABUR,2024-01-01,1417550.0,471080.0,33.23
DALBHARAT,2024-01-01,802488.0,348328.0,43.41
DIVISLAB,2024-01-01,240126.0,98442.0,41.0
DIXON,2024-01-01,268871.0,124734.0,46.39
DLF,2024-01-01,1400824.0,639592.0,45.66
DMART,2024-01-01,131614.0,81710.0,62.08
DRREDDY,2024-01-01,195680.0,79107.0,40.43
EICHERMOT,2024-01-01,763454.0,299506.0,39.23
ENDURANCE,2024-01-01,71934.0,42242.0,58.72
ESCORTS,2024-01-01,318161.0,114516.0,35.99
EXIDEIND,2024-01-01,4091951.0,1238076.0,30.26
FEDERALBNK,2024-01-01,6210375.0,2983957.0,48.05
FLUOROCHEM,2024-01-01,184135.0,103651.0,56.29
FORTIS,2024-01-01,3687892.0,666147.0,18.06
GAIL,2024-01-01,40952729.0,14912704.0,36.41
GICRE,2024-01-01,837234.0,160571.0,19.18
