symbol,date,pe,pb,roe,debt_to_equity,revenue_growth,earnings_growth,profit_margin,dividend_yield,market_cap_cr
ABB,2026-09-24,95.3585,16.1820,0.1913,1.5470,0.1210,0.0300,0.2135,0.5500,151069.5000
ADANIENSOL,2026-09-24,55.1873,6.3330,,194.5000,0.4240,1.2410,0.0958,,163937.0000
ADANIENT,2026-09-24,50.4611,4.6324,,119.5600,0.4990,,0.0655,0.0400,412662.3000
ADANIGREEN,2026-09-24,122.9683,10.9307,,346.5480,0.1660,0.1850,0.1310,,210855.0000
ADANIPORTS,2026-09-24,30.4867,4.2865,,64.0510,0.1860,0.0240,0.3243,0.4100,411325.8000
ADANIPOWER,2026-09-24,26.9932,5.9240,,82.3320,0.3400,0.4440,0.2415,,384691.1000
AMBUJACEM,2026-09-24,21.5423,1.5998,,1.2050,-0.0770,-0.2750,0.1113,0.5100,95441.8000
APOLLOHOSP,2026-09-24,61.1861,13.4812,,85.1460,0.2060,0.3410,0.0791,0.2200,127803.0000
ASIANPAINT,2026-09-24,48.2496,10.7389,,17.8470,0.1790,0.3990,0.1281,1.1200,229374.8000
AXISBANK,2026-09-24,13.4280,1.6536,0.1335,,0.1400,0.2180,0.3603,0.0800,369425.5000
BAJAJ-AUTO,2026-09-24,26.6438,8.0671,,56.3520,0.6400,0.4580,0.1625,1.3200,307746.7000
BAJAJFINSV,2026-09-24,28.2601,3.6161,,256.4040,0.1930,0.1270,0.0647,0.0700,282011.1000
BAJAJHLDNG,2026-09-24,13.7198,1.6609,0.1160,0.0120,0.2420,-0.2240,7.3464,1.1400,121499.1000
BAJFINANCE,2026-09-24,29.1395,5.3561,,314.8330,0.2610,0.2720,0.4350,0.5200,610893.7000
BANKBARODA,2026-09-24,6.6695,0.7187,0.1132,,0.1800,-0.4860,0.2739,3.5900,121165.0000
BEL,2026-09-24,46.6667,11.9450,,0.2730,0.2490,0.0830,0.2140,0.6300,286543.3000
BHARTIARTL,2026-09-24,37.2495,6.9208,0.2015,100.4150,0.1840,0.3510,0.1314,1.3100,1120338.2000
BOSCHLTD,2026-09-24,59.7555,9.4867,,0.8000,0.2200,-0.3670,0.1133,0.5600,140843.9000
BPCL,2026-09-24,7.6584,1.3103,,54.3320,0.3440,,0.0347,6.3300,131211.1000
BRITANNIA,2026-09-24,45.3451,23.0890,,26.8750,0.0820,0.1360,0.1338,1.8400,117905.0000
CANBK,2026-09-24,5.7489,0.9702,,,-0.1290,0.6220,0.4313,3.3300,114199.5000
CGPOWER,2026-09-24,111.2547,17.5206,,1.4460,0.1400,0.1310,0.0975,0.1500,139696.8000
CHOLAFIN,2026-09-24,24.8809,4.7044,,695.2830,0.3460,0.4370,0.4055,0.1100,143628.3000
CIPLA,2026-09-24,33.4929,3.2821,,1.7780,0.0350,-0.3920,0.1201,0.9400,113019.4000
COALINDIA,2026-09-24,8.4164,2.1834,,11.6290,0.4510,0.0120,0.1814,4.9500,260067.1000
CUMMINSIND,2026-09-24,58.3891,16.2653,,0.4310,0.1790,0.0090,0.1869,1.3200,137851.6000
DIVISLAB,2026-09-24,86.7546,15.2081,,0.0420,0.2780,0.6570,0.2605,0.3100,254902.9000
DLF,2026-09-24,36.8149,3.6493,0.1010,0.6730,-0.5290,0.0420,0.6579,1.1900,165944.9000
DMART,2026-09-24,80.8086,10.0746,,9.9130,0.1490,0.1140,0.0429,,247038.2000
DRREDDY,2026-09-24,29.9501,2.6078,0.0884,18.6050,-0.0560,-0.6870,0.1000,0.6600,99992.0000
EICHERMOT,2026-09-24,34.9602,8.0201,,2.0480,0.3150,0.2130,0.2321,1.1000,201457.7000
ENRIN,2026-09-24,76.9419,23.7972,,4.4830,0.3930,0.6780,0.1577,0.1200,114507.0000
ETERNAL,2026-09-24,745.5556,9.9175,,14.8260,1.8200,2.3330,0.0064,,308840.9000
GAIL,2026-09-24,11.5669,1.2826,,27.8090,0.1670,0.9720,0.0670,3.1800,114307.8000
GODREJCP,2026-09-24,46.3699,7.0788,,34.8990,0.1540,0.1150,0.1209,2.2700,89539.2000
GRASIM,2026-09-24,37.7594,2.0757,,135.0440,0.2140,0.5130,0.0309,0.3100,214768.7000
HAL,2026-09-24,34.2777,7.7797,,0.1600,0.1440,0.1490,0.2759,0.4100,319286.6000
HCLTECH,2026-09-24,19.3647,4.5590,0.2407,7.0580,0.0300,0.0840,0.1297,4.7700,336489.1000
HDFCAMC,2026-09-24,34.7185,11.0494,,2.3640,0.1340,0.1180,0.6162,2.2100,102132.3000
HDFCBANK,2026-09-24,15.9218,1.8509,0.1384,,0.1660,0.1810,0.2679,1.7600,1123714.5000
HDFCLIFE,2026-09-24,57.4591,5.8674,0.1083,15.8850,0.1430,0.1190,0.0190,0.3700,114445.3000
HINDALCO,2026-09-24,13.3279,1.5960,,72.5980,0.3210,0.7510,0.0555,0.5000,217988.0000
HINDUNILVR,2026-09-24,42.9285,9.3209,,3.0160,0.0500,0.0840,0.2264,2.2600,454293.5000
HINDZINC,2026-09-24,14.5442,10.9633,,39.0340,0.7170,1.4460,0.3807,3.5300,248089.6000
HYUNDAI,2026-09-24,33.8025,8.3670,,5.4840,-0.0050,-0.3510,0.0700,1.0000,167432.2000
ICICIBANK,2026-09-24,17.2550,2.5161,0.1607,,0.1140,0.1380,0.2753,0.9000,957920.8000
INDHOTEL,2026-09-24,48.2649,7.9480,,18.9870,0.1510,0.2070,0.2087,0.4400,105428.6000
INDIGO,2026-09-24,,27.1126,,1112.7060,0.1990,,-0.0540,0.1900,189080.0000
INFY,2026-09-24,13.0802,4.4523,0.3200,9.5410,0.0290,0.0530,0.1637,4.9000,410907.4000
IOC,2026-09-24,5.5757,0.8548,,58.4460,0.3850,,0.0392,5.9700,192430.1000
IRFC,2026-09-24,14.5464,1.8374,,773.3470,0.1030,0.0970,0.9727,3.5800,104365.1000
ITC,2026-09-24,16.9299,4.6311,,3.2930,-0.1110,-0.1600,0.2594,5.9200,335817.9000
JINDALSTEL,2026-09-24,43.3958,2.3140,,43.6130,0.2590,-0.4370,0.0482,0.1700,117804.8000
JIOFIN,2026-09-24,70.3405,1.0746,,16.2860,2.0820,1.7020,0.5501,0.2600,150023.4000
JSWSTEEL,2026-09-24,12.5612,3.1060,,95.3740,0.0980,1.1300,0.1306,0.5500,310785.3000
KOTAKBANK,2026-09-24,19.8432,2.2228,,,0.2100,0.2250,0.2847,0.1600,402889.2000
LODHA,2026-09-24,28.1409,4.9675,,42.2380,0.4310,1.0330,0.2269,0.3700,115710.0000
LT,2026-09-24,31.9801,4.8566,,97.6400,0.0810,0.1400,0.0559,0.9700,530864.1000
LTM,2026-09-24,23.5699,4.8795,0.2197,9.8740,0.1800,0.1690,0.1187,1.8400,119711.0000
M&M,2026-09-24,18.1661,3.5806,,125.2780,0.2750,0.3340,0.0861,1.0900,358151.4000
MARUTI,2026-09-24,26.2835,3.5179,,0.0960,0.3590,-0.0910,0.0727,1.1400,376968.7000
MAXHEALTH,2026-09-24,70.0134,9.4718,,32.3670,0.1670,0.0480,0.1672,0.1900,101808.3000
MAZDOCK,2026-09-24,33.1876,9.1056,,4.4810,0.1210,0.2150,0.2012,0.9400,88824.3000
MOTHERSON,2026-09-24,39.3462,4.1761,,43.9080,0.1660,1.0420,0.0336,0.3000,171132.5000
MUTHOOTFIN,2026-09-24,9.9707,2.7937,0.3174,393.5600,0.3530,0.3880,0.5550,1.0500,113426.9000
NESTLEIND,2026-09-24,68.0948,50.5179,,8.6210,0.2520,0.4810,0.1562,0.8700,260515.3000
NTPC,2026-09-24,9.9908,1.5594,,128.3450,0.0780,0.1180,0.1453,3.7900,316693.1000
ONGC,2026-09-24,6.9055,0.8088,,42.5480,0.2570,0.2140,0.0618,6.1200,300668.7000
PFC,2026-09-24,4.2999,0.7835,,536.8370,0.0080,0.0210,0.5448,4.5100,111989.0000
PIDILITIND,2026-09-24,58.7872,14.3003,,3.7760,0.2130,0.2960,0.1720,0.7200,155021.8000
PNB,2026-09-24,6.0937,0.8608,0.1497,,-0.0640,1.7500,0.3815,2.5400,134605.3000
POWERGRID,2026-09-24,13.0396,2.4655,,150.8130,0.0270,-0.0080,0.3380,4.5300,247768.1000
RECLTD,2026-09-24,5.0724,0.9639,,607.4630,0.2520,-0.0610,0.6889,1.9900,81169.1000
RELIANCE,2026-09-24,22.1030,1.8250,,36.6530,0.2970,-0.2240,0.0661,0.4800,1649879.0000
SBILIFE,2026-09-24,67.8392,8.7455,0.1370,,0.1880,0.2180,0.0214,0.1500,176097.6000
SBIN,2026-09-24,10.4608,1.4523,0.1518,,0.1030,0.0990,0.2238,1.7500,903215.9000
SHREECEM,2026-09-24,49.4196,3.4658,,8.0130,0.1800,-0.1770,0.0745,0.6200,80640.5000
SHRIRAMFIN,2026-09-24,17.3959,2.8258,0.1850,276.2150,0.4280,0.2950,0.5001,1.3700,232951.5000
SIEMENS,2026-09-24,81.0335,9.8853,,2.2130,0.1480,4.0610,0.1902,0.4600,136814.4000
SOLARINDS,2026-09-24,85.9096,28.0817,,23.2710,0.7030,0.9270,0.1754,0.0600,176274.6000
SUNPHARMA,2026-09-24,36.7335,5.3111,,5.5170,0.1050,0.2740,0.2019,0.8600,443853.0000
TATACAP,2026-09-24,26.2490,3.0916,,502.9310,0.4030,0.4720,0.3968,0.1600,141786.3000
TATACONSUM,2026-09-24,59.7396,4.4796,,12.1590,0.1190,0.2790,0.0784,1.0100,97613.1000
TATAPOWER,2026-09-24,29.9382,2.9419,,168.0510,0.0560,0.1090,0.0609,0.6800,116134.6000
TATASTEEL,2026-09-24,21.2933,2.2974,,89.0170,0.1430,0.1140,0.0460,2.1000,234542.1000
TCS,2026-09-24,15.1561,6.8875,0.4774,10.2110,0.1390,0.0460,0.1805,3.1100,755094.8000
TECHM,2026-09-24,26.7140,4.6141,,7.2690,0.1770,0.2830,0.0868,3.2800,136698.0000
TITAN,2026-09-24,73.7223,27.3211,,195.0010,0.2930,0.6280,0.0623,0.3100,428793.7000
TMCV,2026-09-24,38.3802,12.6413,,44.0950,0.1930,0.8340,0.0481,0.8900,160993.1000
TMPV,2026-09-24,,0.9693,,70.3640,-0.0820,-0.8030,0.2281,1.0000,108648.3000
