horizon,symbol,date,correct
intraday,AMBUJACEM,2026-09-25,0
intraday,AXISBANK,2026-09-25,1
intraday,BAJAJFINSV,2026-09-25,1
intraday,BRITANNIA,2026-09-25,1
intraday,CANBK,2026-09-25,0
intraday,CHOLAFIN,2026-09-25,1
intraday,GODREJCP,2026-09-25,1
intraday,INDIGO,2026-09-25,0
intraday,IRFC,2026-09-25,0
intraday,MAXHEALTH,2026-09-25,0
intraday,MAZDOCK,2026-09-25,1
intraday,NTPC,2026-09-25,1
intraday,PIDILITIND,2026-09-25,1
intraday,SBILIFE,2026-09-25,1
intraday,SHRIRAMFIN,2026-09-25,1
intraday,SOLARINDS,2026-09-25,0
intraday,TMPV,2026-09-25,1
intraday,UNIONBANK,2026-09-25,0
intraday,VBL,2026-09-25,1
intraday,VEDL,2026-09-25,0
