,model_daily,model_weekly,model_weekly_10_holdings,momentum_only,nifty50,equal_weight_nifty100
2015-01-02,99761.35,99761.35,99728.59,99761.32,100000.00,100000.00
2015-01-05,100335.92,100335.92,100642.97,102411.12,99796.92,99947.97
2015-01-06,97688.79,97688.79,97834.95,99838.42,96806.60,97002.28
2015-01-07,98546.39,98546.39,98857.48,102690.22,96505.84,97071.80
2015-01-08,100401.18,100401.18,100177.36,106160.62,98084.07,98967.06
2015-01-09,99229.36,99229.36,99350.85,104280.52,98678.45,99023.96
2015-01-12,98963.02,98963.02,99999.88,105368.72,99137.03,99482.67
2015-01-13,100817.19,100817.19,100496.64,108024.12,98855.93,99422.85
2015-01-14,100673.64,100673.64,99844.67,108051.02,98595.66,99179.79
2015-01-15,101776.01,101776.01,101166.37,109913.42,101175.64,100909.34
2015-01-16,101727.41,101727.41,101229.85,110422.82,101409.69,101484.07
2015-01-19,101150.45,101150.45,101747.63,109028.52,101849.22,102077.92
2015-01-20,101905.13,101905.13,102616.84,109799.32,103575.14,102541.62
2015-01-21,101819.22,101819.22,103645.84,110456.22,103978.94,102889.42
2015-01-22,101708.11,101708.11,103979.10,110540.72,104358.91,103186.45
2015-01-23,103003.40,103003.40,104342.72,112574.12,105242.71,103731.17
2015-01-27,104377.13,104377.13,105590.40,113537.72,106134.87,104355.69
2015-01-28,107528.77,107528.77,106677.97,116364.42,106180.13,104764.67
2015-01-29,109832.66,109832.66,107009.99,114366.22,106633.35,105005.77
2015-01-30,110177.20,110177.20,106515.20,113469.32,104924.69,104196.44
2015-02-02,109584.49,109584.49,107039.83,111390.22,104787.71,104393.19
2015-02-03,107625.62,107806.43,104801.98,111200.52,104301.13,103607.34
2015-02-04,106068.70,107757.65,103605.62,112386.32,103909.86,103349.14
2015-02-05,106010.64,107075.03,102762.06,110685.22,103766.92,102100.82
2015-02-06,103508.91,103786.84,101132.96,108315.08,103163.61,101021.19
2015-02-09,102688.70,102972.84,99862.37,105171.16,101559.17,99380.85
2015-02-10,105035.70,105334.58,100995.91,107552.52,102026.09,100279.74
2015-02-11,108354.65,108655.11,103137.69,112522.34,102762.81,101873.76
2015-02-12,109240.66,109543.78,104610.81,115372.10,103765.13,103197.06
2015-02-13,110789.34,111093.66,105957.10,115303.55,104884.19,104092.10
2015-02-16,108002.72,108302.47,105708.71,113682.12,104930.04,104339.63
2015-02-18,109357.35,109655.77,106736.36,117343.34,105641.74,105103.83
2015-02-19,110709.38,111021.83,106566.00,116427.85,105953.82,105451.37
2015-02-20,110151.44,110461.03,106297.67,114779.42,105218.89,105340.08
2015-02-23,108215.30,108518.78,104736.26,112795.59,104282.08,104602.62
2015-02-24,107716.04,108012.06,104078.90,109506.03,104367.24,104486.05
2015-02-25,107429.72,107724.42,103602.41,109393.25,104428.59,104332.42
2015-02-26,105170.45,105463.33,102165.03,107197.64,103435.19,103393.29
2015-02-27,107720.21,108017.70,104695.44,111067.85,105349.91,105990.18
2015-03-02,112960.96,113266.06,108900.90,114892.21,106685.76,107807.90
2015-03-03,111779.58,112083.51,109457.88,117055.00,107156.25,108674.99
2015-03-04,110512.18,110812.32,107652.66,115621.40,106279.59,107196.92
2015-03-05,112333.96,112647.28,108997.35,117051.92,106459.45,107635.73
2015-03-09,110678.06,110988.11,107557.65,115034.29,104303.52,105940.11
2015-03-10,111503.97,111814.93,107970.05,117703.99,103771.09,105552.34
2015-03-11,111335.17,111651.21,107274.49,117059.79,103626.96,105299.89
