symbol,published,source,title,url,sentiment
BEL,2026-04-01T05:03:41Z,Upstox,"Bharat Electronics shares rally 7% as firm bags orders worth ₹6,795 crore; check FY26 order book details",https://news.google.com/rss/articles/CBMiggJBVV95cUxPOHFiX0RTZUowRmRJYXVteC1GZnNzVDdyZFZwaWhyT2dGNV9nRWtrWGVZNWl1eWVWcTBGam9OWnNpbHNINTdPU0hfUGQ5SlB2N3BETUR4TXVDa1pyYVJaOU1KRjFNQ0pHRWFPSTNFc0JlVGhNUnhacGZadi1xZHY1WWJFRG1nenRNX2czZzllUVdOT203LUlpQjZUTlFHM2hfbVo3a0dqaklyLU5YWi1NQXJSTlJrMGFELTZZS1FnUlNISWMtVkZDUGNGOEJwNWtpRW5YUkNJTXlTc0lrVG5FRDFvQmI1WnJwT3VxdEg4NlMtMmdEY0ozZ2o5WXo3SzZJamc?oc=5,0.7766
APLAPOLLO,2026-04-01T07:00:00Z,business-standard.com,APL Apollo Tubes clocks total sales of 9.24 lakh tonnes in Q4 FY26,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQREozSVdVQzItMFdla01fajY3aE9qMkhyUklCNE5mXzRDSjg0LUN6ajdHT3JZQlhRUVVVMXR5Vk1NcF9Cak9zS1VlaXlFUklmRm11WmtpT281Ukl1SGtSNWI3WDRVTUUzTWVIRjJZcXRuR1p6UnQ3aHJoQU0xN1A3ZElJbTJOb3laNTk1SzlJM2VoWVBxd0sya1oyTklfamg5ZE0tWXEzOU01dGthZy1PSnJ4SUlWTDMtTFBSeGIxd1ZBN0duc3p4T2tOWFZrOGFUbnB5Q0tWNTZzTUxMQkdaUEpB0gHnAUFVX3lxTE1QMUI0cHIzdEZ0NWRkMEJmNnFWdHpzek5QblN2dnVRdGZNZnFrNURkOU5vWlo0cnlGOFNjWGNoNEtPY0V6Z2EzOEs4bGl4elhobVVMWVJJN1ppajNhZzZmbGFIN0VZSEU4QnoxclNOQW9maWxIZkpXSzl0aHVvQWpmc3Ywc0plem9fb0RRVUpNX00yamszUHlVVi0zaDZ2RG5kQ3JES29qeFprOE45UnQ4OWg3TmdwNmdWMVJCbnJkYmxEbFY1X2F0NmxlMThVRF8yU1RfSUpUTWt6SVdFZVlMNzZPOEtrYw?oc=5,0.1419
APLAPOLLO,2026-04-01T07:00:00Z,CNBC TV18,APL Apollo shares cool sharply from highs after missing volume growth guidance,https://news.google.com/rss/articles/CBMi6AFBVV95cUxOZHlRZVpOMFZWYkNlOVN1WHl3S2ZWeGNQQzlvX1UtVGVGM1RpN2QtaEFBZjFxQ0dDZ0FIcERmNDBma1EyZWZUeE9IdTU5Q3NwZnVkUUh1UFpjT2E2ZG43c05DTzNTS04ybHp4R01aRmRvSlplNHgwU0t2OEk2V1dhc3ZQUWFyeURnWm44WHFHeE4yaXVCMEFKLXR2X19PMEY1enNiVmV6XzVOVTRQZjd6Z0N5UHpzRnZvM0VSNl8yWXhDV0xaZG1QUUc0dzgtaHFBN2ZKamRSOExsc05LSlVRd0dHZ2o3dndF0gHuAUFVX3lxTFBpdF82d0FKeWZTNzl3OU1VMHpHWkhRd0VhZUJwUDQ0TmVGNnJ2dWRUTjk2TFNfbDNHdVZEelpyZ2huYWpoNDJtMng4X2dsdWpnQUdZcnR2RUhWXzZwWEJWazNCSW1pNS1pbzd1bXlGdF8yc1FGWTluR18tRkZaSG96ajRkWi14QkFFUnZEVlBTQW1DcDYtVDVjd0hmX1lvelNfcmN5UmxLSlhpQ19VMlFwaGxpc1paNWdZRE9qRFpOc2Z5WElsdXBHRmN2dmI0Z05rMWJ3Q0cwelJGcUE5TjhldC1jU1A5MXpaMThpRWc?oc=5,-0.9509
APLAPOLLO,2026-04-01T07:00:00Z,scanx.trade,APL Apollo: Company Misses Q4 Volume Targets,https://news.google.com/rss/articles/CBMixgFBVV95cUxPRngxTm9JWkpMbklfVmVGRlZxVUs1V2RjbHV4QmNHVm1MODlzWXVjZDFhaWtlRm1MUGNuWERISEJfU0JadWhrSm1TTDl4V1ZwNWdQR1d3eHZtU2k4NjNKbENoQ0xNLVoxQ1ZVX1R3MkNvNDFXakJnbmd3amVmLWZHaVhwZHRXUlNycjBPNFdYVFlZSDJkM0czR1hmRGMtYTNYWGgxNno1YU1ZeXA1WFhEWFFLT2FXa0R1dlRjM3BoWHJmQl9tbUE?oc=5,-0.9362
ASHOKLEY,2026-04-01T07:00:00Z,CNBC TV18,Ashok Leyland shares fall 7% from the highs after March sales miss expectations,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOQzM5WVo5LWhkWVBqODl4Ti11X3dJbEtnblFvWFkxVl9zZ21EYXVhZmsybEhvRWczeDlRM2wyM0pfSzlKYWlWM05OT2drQnpVRHlsM2dIci12bkFaZDA2UTdic21GSTljd1RkUzExeGZkdFFnd2dnU2Ezc2VkNm80OERRdzk3b19Fa05kU1BGTVlZT1RndFhhbGczYkZ1bEllNF9peGhLdGVPWnZtcWcxajdZRVJvVXZGX3l4WFJOZWxWT0djZGp4ZFdPanh4VFB3a0xNZjl2RWxIQWItR214RzJEUlAxWXJBZlHSAe8BQVVfeXFMT1JYYjNpTk5nbGVjMXA4MEczS0VobzNVdU82UTdsdUJVUnZ2ZUZ1OWtUVVVoVjljRnRfaUVVNmJnYVUtUlFka0NwODVuZmJrRlJGcDlQLUFzOWlXTHVaRWpsRTRRUDlRRm1ha3hETnV2U25KaUtyVVd3QjJjM25KUUZBaXBCNHpoNGY3WURoTXZVdmZvQW1JMmV5OU5Qd0xzNEFYYzVtbnh6M0JaT0ZHUHRCMUdpeGR2b1h0YkFvYmdJbTE0aG9Qa0V3enZwZXdSZ1JqZ2VTRldqeHVWR0lDOVFmZ1VLUTlkYmVVRFhOYjA?oc=5,-0.9639
ASTRAL,2026-04-01T07:00:00Z,business-standard.com,"Astral, Glenmark, Nalco among high conviction F&O bets in April: Systematix",https://news.google.com/rss/articles/CBMi1gFBVV95cUxPbjFSaG43bDZFM19hTTVOQld0T19iSnRGbHhvTzRHVTJjZmR5dFZ2NEFhSEV1QXZsTVVSUnlWekdTLUt2SUxXZ1NxbVRsU084eDFMYXZ4SlR4QktFU0x4b0p4Z1Vnd1ZaN3QtSWJPN3RqRDFKY2E2eTNPdGNPWUttbUhSZDItc3Z1S2oyVXhRYk1FMi1fNGpMWktkX21JYXJzWWFuNUR5blFoOEJ6QS1GQWttTzRiQTJaRzJXSndGSm4wQmFHNTEwVGpTaXZNWlg0VW9YRHdR0gHbAUFVX3lxTE9LLXpFQ0tORUwtYmFKb1FoV3MtUnhfNE9XdkZXQm5EQXBJWWtGdXRsdndWZE1leGZlLWN5UDY3LWd5OUFFbXhYV3NzZklxRDc3aUFtcGY1WUoxZE5NU3otWmUwXzJWT0dUbjBJdUZQT3Y2Vi1JNXFLdDZBZFF6ZHR1UUNlUkVYUDdsTmkweTNiQlhBc0pnTHg1aW5mQU5JQnUtN0Y2QVM0N19CTkJiVVJyX3dUa041dE1zTE9EcnE5QmRHOVBFMGpSMTU2T185bkxKR0Zia2JiU3J3TQ?oc=5,0.1811
GLENMARK,2026-04-01T07:00:00Z,Livemint,"Improved outlook, semaglutide rush may keep Glenmark stock in good health",https://news.google.com/rss/articles/CBMizAFBVV95cUxQR2RSNG9hb0NGSnJjTFp5bFlJMGVSakJIUmxhMGdDZ19rRTZvdENDTkNXSFBuVzFIMU9kZ2wtUVk1akU3dmtVWEFtTlN5NGs3S09tRlBzRGFOWDFiN2JEdEhjTzh3LVRxT0prNWhHby1MQzg4TmljNzA4eE9QYktWWGZvV2ZNVTVFSTE2Z0hIZ3hWLVFwd0h4UlM5QW1nZDBacTM3a2RkSmdCRlpQaXdrQndwNDQ3SXlRUmQtUlZ6Um1tTGoxUWJGalBmZ1XSAdIBQVVfeXFMTlRGVkp1eXpMblpTT0g4VnBMNmVaaXhMSkpEejZUSFFHOWpPQk5vSG5YNmo2aGF6eVVaYUVJdWM2OE9fZlJKUE1Zclk2VE5kZzBqU01ZNzhxalRUZ2xyZzBnZzhkV1dDT09ZRU04dk9UNUZCQVJuZ1p6X1pJbEhnVUU1YUlXdHRjOWdPeGZVck85aW5nMm1vSDVCQlJBa1JBLUlaQ2FZRGljb2puT1BjdE15Q1VLUFdoVGhIbTdIU0w2QlE3aTJRN291WGpNWVMyOWVB?oc=5,0.9349
GODREJIND,2026-04-01T07:00:00Z,business-standard.com,Volumes soar at Godrej Industries Ltd counter,https://news.google.com/rss/articles/CBMixgFBVV95cUxNQXdfbWlLYlh5NWY1ODkzNWFOQWN4ajFGTWd2ZmNVU2dLRFhvaXJvQWg1aXJKZ1hVbTRuZmpmengyRU1LSW5lRy0zNmktMzlhc1dGbDV3eTNJVXJmc2x4QnBUUjd4RXpjZzBqekJMSFIzT3BOSVJlTk5fblRGSEVkNDUzMmY5RlUybmN3TWM0ODlBQVltRGRxX3NvUWc0TVZjWHA4eWQ2Z3oyVmlXUS1SdnpMM29idURtYll2QzFKUkcxcFpKcXfSAcsBQVVfeXFMTXZnUHEyRF9uVnExblBxOHl1T1hfMHJsbWg4NGJ5N3c1VGpjTHVBdUd2RmN3cXhhVnNDUFZxRWdfbldqUnlUQlZIVW56N0VIb3hHOWpVWVozSTlzMVVwUjNVLW5ON2w0UERqVW1WTVEzMll6RlVsT1d1OWlNcGtjQzlweENQVVg2NG1kTUhFZ2tucGtWbXpsMWZpaEkxTHlEbjNOLU1mUE1MeElkaUhmRGY0WkJPT2hrMVdDZlhBdHRXNDdJTF9tYWhrSW8?oc=5,0.7257
HYUNDAI,2026-04-01T07:00:00Z,HDFC Sky,Hyundai India Hits Record Sales; Shares Drop 4.19%,https://news.google.com/rss/articles/CBMicEFVX3lxTE1qdHVZejJmczZCMHpnbHhHSzMweDZ1RGk2aXNHWE5UeEZVNF9MM0ZIT2ZyZDZ4bXpueTkzNG9oUHVBa1ZFZUxlNlpXSmtNd3FFbmlsdmVEb3lkTXFHYkR2VWFZM1lwMGFoaUNpNFNrcFM?oc=5,-0.9589
INDIGO,2026-04-01T07:00:00Z,Moneycontrol.com,IndiGo shares jump 8.5% on naming ex-British Airways chief Willie Walsh as new CEO,https://news.google.com/rss/articles/CBMi3wFBVV95cUxNUGgyVEk2YTBZMmpHaHFVNWtUSnhrV0tmSTdBQ0RtcWszdHVoMWRWWWpweU4zakw0aUo1Q2lxaTM5ZFpnUjgzYW45dEpUcGVkNlhjeUNreVdBb3BMZnNGRG1WcXBTRzlJV2tIbmFIU0F2Y3E3clM4UXJFZzdqb2VHZ0QxNWFmUU1ZV3lFbUktaU5JMUk3bU1BdWV5dkNDNGNIV0dOUUg4NlpqNnNYMXNkTnI2ZDhRWGN2SkFGQ2RUWmNwMG0yajlCMExqeWZjOXZmM0UzRjZGSXhvQ3YxdndN0gHkAUFVX3lxTFBUNGVoNjFPOTBpRkg2aWN2LUJSc0RJM0xVb2U5VUszb3JQM3c2dTNDNlpHaEN2MXFaWC1Ld3B6ZWkzd1FiVlNHbXozOEVmU1JiN0VTNXVfLVRkQjJ1cWJSOFlJRmswa19EOFE3NDgyMVBLSFFsbkNmMVR5YWtQNFN3cG1MdHhidmpKSFRSOFRVMHl2T3lzT2M1LUUwTkRMQ2Nud05pY0RhaHQzUXZmcV9qUExfeEE2Q291b3U4eU55OExOeFhxbml2dkM1aVpFNEc0bGw0Q0hOdnd0VnROUzdTdlhRVA?oc=5,0.0834
IREDA,2026-04-01T07:00:00Z,business-standard.com,"Dividend stocks: TVS Holdings, Ireda, 4 others to remain in focus today",https://news.google.com/rss/articles/CBMi0AFBVV95cUxNMXZldUJuckdzRHFiU2UzYU01SVdpLWtNc3YxTWhCVHN3c1BpeFlpckRXWmk0Tm9ZY3BuSHNrY1Z6NHJOZkgzanhlT0ZncEFVUW5SdnB1UTFVTng1dWtwZkdERWNfUlllUGd2M3RDVk55eGVScXZ1dDh6WWk2WnhaXzh1NEpFMG5zYkJiTFZ3a1BxYjRIQ3RVRWVLaFloUjdkWlJHcjhnSmxjSm1ZMXh2OFBVZktDSDJvMk5ZTGpnaEk5SE52eXhlZ1JrYnU1RUNM0gHWAUFVX3lxTE5ib2s2bG80RnlIeEJFUTJ5LVJUMjl5Qi1pbzRVc2Zmb3VZM2VqUW1TcWhDUTlicjc0WGRYQW1ORHgxLWdSRzNaYXdDOWF3c3RtOFBKd09ZV0FySWZwMm5lakV2NjVxWHEtQ05YU3psUDYtWU9ENkhoN1h4dzlFb0s5cEN6MmRYZDVPRmhwb1ZoMWlTSThmWHhERUk5THRCdXdfaDhNU1p4SXpVQjBQaWJQMWRZTnNmRldvOWRIMjRfZUMtTW1ySk1yb1B6b2JBdXJCOUJzblE?oc=5,0.0028
IREDA,2026-04-01T07:00:00Z,Livemint,IREDA share price jumps 5% on strong Q4 business update. Do you own?,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQcml2d1kxWndlWUE1TlpOREN1dkIzNWIwVWZvSVo4MTR1YXFPNUZRd2ZrNGdfQ0RCUUpaWUVaN1ctVlE5WjI3QXU1eXlpaXRTQ1ZKVUN3WGpITFI5QjBXUmJkX2lBaHVaTE1QNmFFZ3htWGlJT3dBT2dtbkl0Sk12RG5CMGMwT3FQV3NNRUkwaF9YZ1RKNmtNWkM4YjFybldTQ056TU40MmY3OWdMQXpfNk85ODNUTGZQX3JMX3ZKMjVyZjZpTHIzSWJvYmlfNERN0gHWAUFVX3lxTE5MTzdoNFhXaFFtQmJlb1ViNGxONGpXcG0yRVdLeXlzb0hLaXY0ZndmN1ZUa3FCT29TWmpfU1NRU29pVUhLM3lzOGZWUmR1eEd1aU1YZU1mMGw3XzFlNDNpZVZqa09lY3BwTDBlbHA1QnZvM3d5a2tkRW5CeXBUQ3lXS2VKMC1mNmtVOW8wYUp2WjNLUnlRQTl2N0pacGEyMUdGZGl0a19SUS1LaldWUTNtQ082dUNQbENfcFZlczJRM1FJdmN0MWZLbEVIbVZSYlZpRWg3WHc?oc=5,0.1343
IRFC,2026-04-01T07:00:00Z,barandbench.com,CAM acts on Offer for Sale of Indian Railway FinCorp share by Ministry of Railways,https://news.google.com/rss/articles/CBMiywFBVV95cUxPMjYwdTMzTlNSVUlqZkdySmhScGxzclV1LTZZVmN4alhtNHI5LVh3QWREcG5BdG9aMG05cjUtbkV3WDVZVHduQW9yOWszQmR1MjRGdFRCc2hXLWlQN3M1Qzd6dmhjdWxCT0pjMExJQlhDUUlJWlQ0YUVpRmQ2QjVpQWYyVldhRFBKUFZKc0Jmb2x2Um1TdWc2ZU44MTJQOThxVmVROF9LRDZ4VGwxV2hQcGFxYTdfRzVoQTJaRHRuTUZHbFBRc18walJyZ9IB2AFBVV95cUxQdFJ4a210SmdYNU5fLVNtTTMzRjdKcGRWLU5BOGJaSGFLQU94VkxubEFHOXRLWmswLV96c1h6Si01b2NCV2c3akFNdWNoRWJKS3hPZWxqTGYwOFVfbi0wMVJqY041MEJYM0pHSDBwRHU2U014d3pxUmlWTTNXUGR4YkdHN2hpTTlCN25ISGdOUlY2a211YWxoeHBlcEk3SGFhLVdkTGszcHVkN2w3N0lUNHBTZTdmaDBRaGtTU0JCZEg2Q29fc2dUY0tNVDNEWjlTbzd4d0xodmc?oc=5,0.0849
LGEINDIA,2026-04-01T07:00:00Z,MarketsMojo,LG Electronics India Ltd Hits Intraday Low Amid Price Pressure,https://news.google.com/rss/articles/CBMivAFBVV95cUxPdDh3V2hOWVI3T1I4SWlFekx4YmQydDIwbTNfbjRpVWs2U1Zza2p2d19nUWJYekpVcFdKa3lJa3lzVnZVRHpQcFJ1X1Fya2taVkRWLVlwWFdXNUdOUXBvNHJqRURiNXF4WVEtTy0yWHRad253TVFXREpCQUg3NFROMG9qWFRyalR5MnFCb3hucG9iRWxQSDJOb0JCNktPRDJDbFNKcW0ySk9EWW1XQWVUX05lY1hGX09XbHkzMg?oc=5,-0.8991
LLOYDSME,2026-04-01T07:00:00Z,scanx.trade,Lloyds Metals and Energy Limited Reports Record Iron Ore Production of 21.96 Million Tonnes in FY26,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNVmYwVU9oWU0yWkhDMm9IWG01LTZvRGh1OV85aVZIbEZZbFhDemlhcV9QU2JxZjl6VTU3dkV4Nl9veWU3Y2FXaEdKM1BQLVZHTHVhSTVZNGZfYmtHZ3hTMXEzMTBWZG9nMlE1MFZDUTlscjZ4SlVnTm5wdkVVX25mc3RYd0hVc1VvN3ZSNTU4WFFxU2pDWlpiVGRHUjBQd2RwbWc2b09qV0VXZWZNX1QxNUJiOEwtQnJPR0NCSGpKSDV1YTFsZm5Fc3ZnRUxBVjU2T0MyT2lpR2lzdmRHQnlSYjdJcVdZbmx6bTVzMg?oc=5,0.1902
M&M,2026-04-01T07:00:00Z,Upstox,"Mahindra & Mahindra shares jump 4% as auto firm sees 21% growth in March sales; here’s a detailed look at tractor, CV numbers",https://news.google.com/rss/articles/CBMijwJBVV95cUxQbG1iM0c5U3JBazUxQWl1VlB2SEp4SFU5dDU3V3hxYVBxdmFqNm5HRlpoNV96Zy1KRF9WNDJiVGJUa3JUWm43VHFTSmNCVlBBMU9IejNkZWdIYnRmX05ONWJ3c3ZhVC1OUmNpYUVXUUVDRFFNOXlUdzBQRWFNUTRNczdhN1ZvNmNwdU9WR0U4U0ZtVVBaR3dENUV1QXJESGRxUkxKX2JLazhoaTJEU1VGTjRialUzaGViSWRhZ0VnMWV5Ny1SMXNJSXRWUndFUVdaYWladmpmYl9GYkZQbW5yNHdPc3RaSERVOXVwU2dWb05JNFFjNG9mYjZpM2FzTjZQOUtvUE9HMDlCY0Q4WGYw?oc=5,0.6085
ONGC,2026-04-01T07:00:00Z,cnbctv18.com,India notifies domestic natural gas prices for April — These are the stocks you should watch for,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOeWJyRkM3ZnZhNlNUZE0yM3BZNUptcVZramxaMFdQa2hIWUl4a1RuLWRWRTZfc3FpNG9YaHRWbTY0VlVPU1VfYmNiVktmcU1SZnltaWpDdFNXYmR0WDU0blhOQjhKREw0b3BJRktYemZWeUtaeUV2TldDUXpRR19aek1BbVJ6SV9QTVVoaWVOUDRHRjlSZ2dCa280ZzM4dVJualJoSGV2SWotRGN6MVlrVi1oaFMtU1RGZHlmQk80bVJieFpOZy11YmU4UU04WlJ6M2g0dnBqRHlHbUdZSklkcDNUY2lKSWvSAewBQVVfeXFMT3Q3VlBtaWNlS2JHWUpEM1VqUjVzNXdTa1V4RGJPbWctU3l5bEJValZIOEdxNFR0eHZMVm12UTdaNjFCZFF2UFhueUtEMVlYNGhndWhiWXJxejJPSGVyQnlrM1ZGX0FFcG1JWVE5VUxJZEoyZHlMR3VvZ3YtSE04aTdSeUkxNnZPenFNMWhwSTRPdXoyV3dhaEZZR25xeDQwemx5NHF1NF9aeDlNMk5VVUh6blYzQ3pxTldGeVcwMGhpMTVMbWQxMk1UWUw5Q01BZGZkVXZMbEJ3aHdNQUZLLXdOQmhFOUprQzVlZzI?oc=5,0.0024
PETRONET,2026-04-01T07:00:00Z,CNBC TV18,Petronet LNG shares gain 5% after capacity expansion of Dahej terminal commissioned,https://news.google.com/rss/articles/CBMi5wFBVV95cUxON1pYWVI0eXRFX1VVZmVwUGNGUHg5YUhVRFFjM3pGQzE2OW9KN3kxbDZsbWhCOW0ybDlvTUd6M0JkTUhCZ2YzUFJwd251dGdPbkpYTHhXTGdERm0xR1Z6b3k4ZDYyZEJLNUlTVktCcWhmdWVuZGU1VmlhMGdlU2RqbkxIWURtU1AwRERrcks3aWdBakJnckF1Y3h3RUN6VWZBdGNvQjJTQy01ZThVVmozZldTMUR1OGRSSTVHaWtQVHJtRW1MRHAyOFNyY2cwcXQ0MFhHeXVnelBfQ1hxLVJ2cFJUejFKb1nSAewBQVVfeXFMUG5nYkpOdzI1RkhKMjd4SnBYTVZBOEZSQzBzeTBVZlRGTmdWYkN4Vm8zanJEcVN1YjFJWTFTY0JTcGhvNzF6WEhZQWNzeldFWEVjd1BrN1VSWjUxTlNWM3A1ZHdveUhnZlFheE9kMWFheC1TSFk5dTl2VE1mMmZRTWxfeWlQRThFTmdkZXVQb2pLN3NyZHRiVmJ4UVUyVFMtUng4aDVReFBGSS12M0oxQ0k0Y2hjNEdXRFVpSlVHa1lCdkNfSFltd0N4STdKZlotMFZOaEpfMGtXOW5ZMk9SWFJZaUh5dFpaYUc0RWI?oc=5,0.9313
