symbol,date,iep,prev_close,po_qty,buy_qty,sell_qty
360ONE,2026-09-25,1080.0,1080.8,942,100795,6039
3MINDIA,2026-09-25,34595.0,34590.0,1,108,675
ABB,2026-09-25,7111.0,7129.0,331,1357,4988
ABBOTINDIA,2026-09-25,26860.0,26860.0,19,321,330
ABCAPITAL,2026-09-25,390.9,390.1,1991,35408,66300
ACC,2026-09-25,1236.1,1236.1,66,13866,12122
ADANIENSOL,2026-09-25,1341.4,1340.5,623,6722,14518
ADANIENT,2026-09-25,2920.0,2900.0,4516,11815,17586
ADANIGREEN,2026-09-25,1279.9,1280.1,1825,9538,21668
ADANIPORTS,2026-09-25,1791.8,1785.3,4123,9363,41576
ADANIPOWER,2026-09-25,200.0,199.48,63453,190310,554660
AIAENG,2026-09-25,3954.0,3953.4,50,702,2140
AIIL,2026-09-25,551.6,551.6,329,3535,7797
AJANTPHARM,2026-09-25,3547.0,3539.5,31,1042,2229
ALKEM,2026-09-25,5322.5,5326.0,85,414,1061
AMBUJACEM,2026-09-25,382.2,384.1,10118,33498,91423
ANTHEM,2026-09-25,888.0,885.6,453,5755,29481
APARINDS,2026-09-25,18000.0,17804.0,252,1700,2479
APLAPOLLO,2026-09-25,2179.1,2184.8,212,2345,7219
APOLLOHOSP,2026-09-25,8891.0,8888.5,1227,2068,1478
APOLLOTYRE,2026-09-25,399.5,397.95,1284,14830,61161
ASHOKLEY,2026-09-25,157.52,157.3,14216,155876,252588
ASIANPAINT,2026-09-25,2401.9,2392.7,1298,5165,7485
ASTRAL,2026-09-25,1389.8,1392.0,291,5141,13225
ATGL,2026-09-25,615.0,612.4,4113,12782,67250
AUBANK,2026-09-25,1001.0,1000.1,1199,8939,12687
AUROPHARMA,2026-09-25,1716.0,1716.0,346,2245,6532
AWL,2026-09-25,184.39,184.69,2240,38460,125211
AXISBANK,2026-09-25,1191.5,1186.5,30430,43468,70416
BAJAJ-AUTO,2026-09-25,11245.0,11208.0,361,696,1660
BAJAJFINSV,2026-09-25,1774.0,1762.3,1480,7132,8765
BAJAJHFL,2026-09-25,83.03,82.96,18286,407321,252003
BAJAJHLDNG,2026-09-25,10925.0,10917.0,124,383,706
BAJFINANCE,2026-09-25,982.0,982.0,25188,70854,60583
BALKRISIND,2026-09-25,2166.5,2167.8,156,5665,3919
BANKBARODA,2026-09-25,234.55,234.3,7231,84347,197797
BANKINDIA,2026-09-25,137.6,137.76,3212,103337,327735
BDL,2026-09-25,1155.0,1155.0,2782,15018,34235
BEL,2026-09-25,392.0,392.0,27969,155390,437772
BERGEPAINT,2026-09-25,451.9,449.4,368,12650,14209
BHARATFORG,2026-09-25,1991.2,1998.9,574,2695,8584
BHARTIARTL,2026-09-25,1794.0,1795.8,41319,38997,54164
BHARTIHEXA,2026-09-25,1505.2,1507.2,22,1167,8137
BHEL,2026-09-25,417.75,415.35,12725,132653,112608
BIOCON,2026-09-25,387.5,387.0,7952,16314,37824
BLUESTARCO,2026-09-25,1523.8,1525.0,39,2117,6241
BOSCHLTD,2026-09-25,47700.0,47750.0,15,382,905
BPCL,2026-09-25,308.1,307.1,5380,75036,111880
BRITANNIA,2026-09-25,4900.5,4895.0,91,2184,2120
BSE,2026-09-25,3206.1,3183.8,12221,59195,98012
CANBK,2026-09-25,125.79,125.9,31935,288287,819028
CGPOWER,2026-09-25,889.5,886.7,4083,24892,85047
CHOLAFIN,2026-09-25,1678.1,1681.7,2035,5781,3788
CIPLA,2026-09-25,1402.9,1399.0,2525,5255,15737
COALINDIA,2026-09-25,424.0,422.0,19252,61385,277332
