symbol,name,industry,isin,active,tradable
360ONE,360 ONE WAM Ltd.,Financial Services,INE466L01038,1,1
3MINDIA,3M India Ltd.,Diversified,INE470A01017,1,1
ABB,ABB India Ltd.,Capital Goods,INE117A01022,1,1
ABBOTINDIA,Abbott India Ltd.,Healthcare,INE358A01014,1,1
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,INE674K01013,1,1
ACC,ACC Ltd.,Construction Materials,INE012A01025,1,1
ADANIENSOL,Adani Energy Solutions Ltd.,Power,INE931S01010,1,1
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,INE423A01024,1,1
ADANIGREEN,Adani Green Energy Ltd.,Power,INE364U01010,1,1
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,INE742F01042,1,1
ADANIPOWER,Adani Power Ltd.,Power,INE814H01029,1,1
AIAENG,AIA Engineering Ltd.,Capital Goods,INE212H01026,1,1
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,INE206F01022,1,1
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,INE031B01049,1,1
ALKEM,Alkem Laboratories Ltd.,Healthcare,INE540L01014,1,1
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,INE079A01024,1,1
ANTHEM,Anthem Biosciences Ltd.,Healthcare,INE0CZ201020,1,1
APARINDS,Apar Industries Ltd.,Capital Goods,INE372A01015,1,1
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,INE702C01027,1,1
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,INE437A01024,1,1
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,INE438A01022,1,1
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,INE208A01029,1,1
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,INE021A01026,1,1
ASTRAL,Astral Ltd.,Capital Goods,INE006I01046,1,1
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,INE399L01023,1,1
AUBANK,AU Small Finance Bank Ltd.,Financial Services,INE949L01017,1,1
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,INE406A01037,1,1
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,INE699H01024,1,1
AXISBANK,Axis Bank Ltd.,Financial Services,INE238A01034,1,1
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,INE917I01010,1,1
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,INE918I01026,1,1
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,INE377Y01014,1,1
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,INE118A01012,1,1
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,INE296A01032,1,1
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,INE787D01026,1,1
BANKBARODA,Bank of Baroda,Financial Services,INE028A01039,1,1
BANKINDIA,Bank of India,Financial Services,INE084A01016,1,1
BDL,Bharat Dynamics Ltd.,Capital Goods,INE171Z01026,1,1
BEL,Bharat Electronics Ltd.,Capital Goods,INE263A01024,1,1
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,INE463A01038,1,1
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,INE465A01025,1,1
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,INE397D01024,1,1
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,INE343G01021,1,1
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,INE257A01026,1,1
BIOCON,Biocon Ltd.,Healthcare,INE376G01013,1,1
BLUESTARCO,Blue Star Ltd.,Consumer Durables,INE472A01039,1,1
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,INE323A01026,1,1
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE029A01011,1,1
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,INE216A01030,1,1
BSE,BSE Ltd.,Financial Services,INE118H01025,1,1
CANBK,Canara Bank,Financial Services,INE476A01022,1,1
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,INE067A01029,1,1
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,INE121A01024,1,1
CIPLA,Cipla Ltd.,Healthcare,INE059A01026,1,1
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,INE522F01014,1,1
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,INE704P01025,1,1
COFORGE,Coforge Ltd.,Information Technology,INE591G01025,1,1
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,INE259A01022,1,1
CONCOR,Container Corporation of India Ltd.,Services,INE111A01025,1,1
COROMANDEL,Coromandel International Ltd.,Chemicals,INE169A01031,1,1
CRISIL,CRISIL Ltd.,Financial Services,INE007A01025,1,1
CUMMINSIND,Cummins India Ltd.,Capital Goods,INE298A01020,1,1
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,INE016A01026,1,1
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,INE00R701025,1,1
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,INE361B01024,1,1
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,INE935N01020,1,1
DLF,DLF Ltd.,Realty,INE271C01023,1,1
DMART,Avenue Supermarts Ltd.,Consumer Services,INE192R01011,1,1
